Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
INCY,38.0,37.0,19.0,14.0,116.0,,34.0,29.0,Incyte Corporation,Healthcare,Biotechnology,41.0,7,1,100.0,A+ (Exceptional)
APA,16.0,18.0,3.0,89.0,29.0,2.0,111.0,70.0,APA Corporation,Energy,Oil & Gas E&P,42.25,8,2,99.78902953586498,A+ (Exceptional)
MO,,,109.0,,,9.0,21.0,,"Altria Group, Inc.",Consumer Defensive,Tobacco,46.333333333333336,3,3,99.57805907172997,A+ (Exceptional)
HPQ,,,149.0,,,7.0,12.0,,HP Inc.,Technology,Computer Hardware,56.0,3,4,99.36708860759494,A+ (Exceptional)
LOW,,,182.0,,,6.0,7.0,,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,65.0,3,5,99.15611814345992,A+ (Exceptional)
DPZ,,,65.0,,,135.0,16.0,,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,72.0,3,6,98.94514767932489,A+ (Exceptional)
SYF,59.0,41.0,82.0,,14.0,126.0,108.0,87.0,Synchrony Financial,Financial Services,Credit Services,73.85714285714286,7,7,98.73417721518987,A+ (Exceptional)
CHTR,1.0,13.0,15.0,293.0,1.0,,39.0,162.0,"Charter Communications, Inc.",Communication Services,Telecom Services,74.85714285714286,7,8,98.52320675105484,A+ (Exceptional)
RF,37.0,142.0,27.0,,26.0,14.0,138.0,163.0,Regions Financial Corporation,Financial Services,Banks - Regional,78.14285714285714,7,9,98.31223628691983,A+ (Exceptional)
PTC,115.0,22.0,123.0,67.0,129.0,,58.0,34.0,PTC Inc.,Technology,Software - Application,78.28571428571429,7,10,98.10126582278481,A+ (Exceptional)
T,46.0,58.0,81.0,190.0,16.0,19.0,51.0,174.0,AT&T Inc.,Communication Services,Telecom Services,79.375,8,11,97.8902953586498,A+ (Exceptional)
