Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
EPAM,15.0,180.0,58.0,108.0,47.0,,48.0,363.0,"EPAM Systems, Inc.",Technology,Information Technology Services,5352966656,669120934.375,8,1,100.0,A+ (Exceptional)
CPB,9.0,119.0,80.0,358.0,39.0,87.0,71.0,359.0,The Campbell's Company,Consumer Defensive,Packaged Foods,6293872640,699319306.8888888,9,2,99.78902953586498,A+ (Exceptional)
POOL,170.0,51.0,369.0,137.0,220.0,103.0,182.0,276.0,Pool Corporation,Industrials,Industrial Distribution,6610760704,734529134.6666666,9,3,99.57805907172997,A+ (Exceptional)
AOS,116.0,55.0,83.0,107.0,159.0,27.0,130.0,119.0,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,7817639936,868626748.0,9,4,99.36708860759494,A+ (Exceptional)
TECH,230.0,422.0,306.0,154.0,325.0,334.0,326.0,296.0,Bio-Techne Corporation,Healthcare,Biotechnology,8091472896,899052809.8888888,9,5,99.15611814345992,A+ (Exceptional)
MOS,237.0,437.0,,409.0,236.0,194.0,403.0,440.0,The Mosaic Company,Basic Materials,Agricultural Inputs,7596534784,949567142.5,8,6,98.94514767932489,A+ (Exceptional)
UHS,8.0,39.0,231.0,234.0,5.0,305.0,35.0,274.0,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,8844966912,982774227.0,9,7,98.73417721518987,A+ (Exceptional)
FDS,91.0,64.0,148.0,84.0,172.0,209.0,303.0,39.0,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,8942748672,993638864.6666666,9,8,98.52320675105484,A+ (Exceptional)
BLDR,200.0,366.0,242.0,386.0,146.0,,172.0,430.0,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,8202515968,1025314738.75,8,9,98.31223628691983,A+ (Exceptional)
JKHY,196.0,107.0,153.0,46.0,203.0,210.0,75.0,44.0,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,9685643264,1076182699.7777777,9,10,98.10126582278481,A+ (Exceptional)
