Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
CPB,9.0,119.0,80.0,358.0,39.0,92.0,71.0,359.0,The Campbell's Company,Consumer Defensive,Packaged Foods,6304784896,700531780.3333334,9,1,100.0,A+ (Exceptional)
EPAM,17.0,180.0,58.0,108.0,47.0,,48.0,363.0,"EPAM Systems, Inc.",Technology,Information Technology Services,5650760192,706345126.625,8,2,99.78902953586498,A+ (Exceptional)
POOL,169.0,51.0,369.0,137.0,220.0,106.0,182.0,276.0,Pool Corporation,Industrials,Industrial Distribution,6570673664,730075019.3333334,9,3,99.57805907172997,A+ (Exceptional)
AOS,109.0,55.0,83.0,107.0,159.0,27.0,130.0,119.0,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,7696350208,855150110.7777778,9,4,99.36708860759494,A+ (Exceptional)
TECH,228.0,422.0,306.0,154.0,325.0,338.0,326.0,296.0,Bio-Techne Corporation,Healthcare,Biotechnology,8042936832,893659914.1111112,9,5,99.15611814345992,A+ (Exceptional)
MOS,240.0,437.0,,409.0,236.0,193.0,403.0,440.0,The Mosaic Company,Basic Materials,Agricultural Inputs,7409005568,926125990.75,8,6,98.94514767932489,A+ (Exceptional)
UHS,8.0,39.0,231.0,234.0,5.0,308.0,35.0,274.0,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,8768999424,974333395.3333334,9,7,98.73417721518987,A+ (Exceptional)
BLDR,200.0,366.0,242.0,386.0,146.0,,172.0,430.0,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,8022890496,1002861554.75,8,8,98.52320675105484,A+ (Exceptional)
FDS,101.0,64.0,148.0,84.0,172.0,89.0,303.0,39.0,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,9568635904,1063181878.2222222,9,9,98.31223628691983,A+ (Exceptional)
HSIC,164.0,325.0,287.0,395.0,158.0,,61.0,413.0,"Henry Schein, Inc.",Healthcare,Medical Distribution,8718049280,1089756385.375,8,10,98.10126582278481,A+ (Exceptional)
JKHY,207.0,107.0,153.0,46.0,203.0,215.0,75.0,44.0,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,9915847680,1101760970.0,9,11,97.8902953586498,A+ (Exceptional)
FRT,263.0,205.0,339.0,207.0,170.0,143.0,330.0,123.0,Federal Realty Investment Trust,Real Estate,REIT - Retail,10388052992,1154228308.0,9,12,97.67932489451476,A+ (Exceptional)
NCLH,55.0,48.0,,354.0,124.0,,408.0,309.0,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,8303006720,1186144002.5714285,7,13,97.46835443037975,A+ (Exceptional)
BXP,221.0,378.0,98.0,337.0,138.0,290.0,258.0,323.0,"BXP, Inc.",Real Estate,REIT - Office,10676306944,1186256554.1111112,9,14,97.25738396624473,A+ (Exceptional)
CPT,334.0,358.0,318.0,417.0,197.0,275.0,321.0,345.0,Camden Property Trust,Real Estate,REIT - Residential,10680975360,1186775325.0,9,15,97.0464135021097,A+ (Exceptional)
ALLE,214.0,67.0,93.0,69.0,214.0,340.0,179.0,113.0,Allegion plc,Industrials,Security & Protection Services,11034164224,1226018390.3333333,9,16,96.83544303797468,A+ (Exceptional)
ERIE,262.0,103.0,130.0,139.0,211.0,91.0,331.0,111.0,Erie Indemnity Company,Financial Services,Insurance Brokers,11250164736,1250018457.1111112,9,17,96.62447257383965,A+ (Exceptional)
SWKS,205.0,392.0,248.0,239.0,169.0,286.0,93.0,397.0,"Skyworks Solutions, Inc.",Technology,Semiconductors,11433109504,1270345725.8888888,9,18,96.41350210970464,A+ (Exceptional)
PNR,75.0,140.0,124.0,62.0,128.0,80.0,121.0,150.0,Pentair plc,Industrials,Specialty Industrial Machinery,11457832960,1273092648.8888888,9,19,96.20253164556962,A+ (Exceptional)
RVTY,102.0,420.0,317.0,279.0,194.0,148.0,262.0,399.0,"Revvity, Inc.",Healthcare,Diagnostics & Research,11490657280,1276739933.4444444,9,20,95.9915611814346,A+ (Exceptional)
PODD,274.0,259.0,236.0,70.0,301.0,,50.0,207.0,Insulet Corporation,Healthcare,Medical Devices,10260521984,1282565422.625,8,21,95.78059071729957,A+ (Exceptional)
HII,65.0,238.0,20.0,366.0,114.0,288.0,119.0,393.0,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,11711665152,1301296306.1111112,9,22,95.56962025316456,A+ (Exceptional)
AES,23.0,218.0,,391.0,38.0,198.0,157.0,351.0,The AES Corporation,Utilities,Utilities - Diversified,10465589248,1308198828.0,8,23,95.35864978902954,A+ (Exceptional)
GL,36.0,56.0,136.0,216.0,43.0,45.0,161.0,138.0,Globe Life Inc.,Financial Services,Insurance - Life,11880424448,1320047253.2222223,9,24,95.14767932489451,A+ (Exceptional)
AVY,206.0,75.0,233.0,223.0,217.0,158.0,429.0,249.0,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,11935558656,1326173382.8888888,9,25,94.9367088607595,A+ (Exceptional)
SWK,105.0,396.0,272.0,404.0,111.0,235.0,178.0,425.0,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,11995728896,1332859002.4444444,9,26,94.72573839662446,A+ (Exceptional)
