Ticker,Company,Price,P/E Ratio
CI,The Cigna Group,278.2,2.4461443
CHTR,"Charter Communications, Inc.",143.12,3.8722944
ALL,The Allstate Corporation,207.43,4.5881443
CMCSA,Comcast Corporation,24.835,4.869608
UHS,"Universal Health Services, Inc.",149.02,6.2247286
EG,"Everest Group, Ltd.",325.19,6.620318
EXE,Expand Energy Corporation,92.995,6.9192715
ACGL,Arch Capital Group Ltd.,90.255,6.9426923
SYF,Synchrony Financial,71.87,7.439959
EIX,Edison International,69.56,7.5608697
AES,The AES Corporation,14.675,7.6432295
MKC,"McCormick & Company, Incorporated",47.64,7.809836
T,AT&T Inc.,24.69,8.121711
GIS,"General Mills, Inc.",34.315,8.389975
PYPL,"PayPal Holdings, Inc.",44.755,8.396811
FIS,"Fidelity National Information Services, Inc.",43.49,8.428295
APA,APA Corporation,36.24,8.447553
TRV,"The Travelers Companies, Inc.",294.18,8.776253
HIG,"The Hartford Insurance Group, Inc.",128.09,9.014074
CINF,Cincinnati Financial Corporation,159.01,9.09148
SOLV,Solventum Corporation,75.66,9.260711
FISV,"Fiserv, Inc.",57.015,9.663559
VICI,VICI Properties Inc.,28.245,9.672945
PGR,The Progressive Corporation,191.83,9.757376
LULU,lululemon athletica inc.,130.915,9.872926
CF,"CF Industries Holdings, Inc.",111.95,10.085585
HPQ,HP Inc.,27.315,10.116667
UAL,"United Airlines Holdings, Inc.",115.925,10.368962
EQT,EQT Corporation,54.96,10.428843
PRU,"Prudential Financial, Inc.",101.93,10.497425
GL,Globe Life Inc.,154.89,10.711618
CB,Chubb Limited,312.53,11.0551815
AMP,"Ameriprise Financial, Inc.",447.94,11.1677885
TROW,"T. Rowe Price Group, Inc.",105.71,11.342275
USB,U.S. Bancorp,54.575,11.4413
CPB,The Campbell's Company,21.185,11.513586
PHM,"PulteGroup, Inc.",119.065,11.514991
RF,Regions Financial Corporation,28.005,11.620331
VZ,Verizon Communications Inc.,47.885,11.679268
LDOS,"Leidos Holdings, Inc.",128.32,11.729434
TFC,Truist Financial Corporation,47.93,11.863862
WFC,Wells Fargo & Company,77.32,11.9505415
DAL,"Delta Air Lines, Inc.",82.92,12.105109
CTSH,Cognizant Technology Solutions Corporation,55.805,12.105206
MTB,M&T Bank Corporation,215.795,12.116508
DVN,Devon Energy Corporation,43.865,12.218664
CCL,Carnival Corporation Ltd.,27.98,12.325991
HBAN,Huntington Bancshares Incorporated,16.275,12.519231
PCG,PG&E Corporation,16.315,12.647287
BAC,Bank of America Corporation,51.35,12.741935
ZTS,Zoetis Inc.,77.795,12.753279
AIZ,"Assurant, Inc.",249.605,12.787141
PNC,"The PNC Financial Services Group, Inc.",221.16,12.850669
AFL,Aflac Incorporated,113.59,12.981714
LEN,Lennar Corporation,90.77,13.0604315
EOG,"EOG Resources, Inc.",133.05,13.082596
KEY,KeyCorp,21.345,13.095092
HCA,"HCA Healthcare, Inc.",380.67,13.117505
AIG,"American International Group, Inc.",74.6275,13.138645
L,Loews Corporation,104.4,13.282443
PTC,PTC Inc.,138.195,13.287982
RJF,"Raymond James Financial, Inc.",143.3,13.531633
WRB,W. R. Berkley Corporation,64.14,13.588984
INCY,Incyte Corporation,97.15,13.721752
GDDY,GoDaddy Inc.,88.065,13.956419
DHI,"D.R. Horton, Inc.",148.83,13.974648
SPG,"Simon Property Group, Inc.",204.445,14.22721
JPM,JPMorgan Chase & Co.,297.58,14.245093
NEM,Newmont Corporation,109.9,14.254215
BBY,"Best Buy Co., Inc.",77.65,14.37963
STZ,"Constellation Brands, Inc.",139.695,14.536422
MO,"Altria Group, Inc.",69.95,14.60334
CFG,"Citizens Financial Group, Inc.",61.859,14.658532
ES,Eversource Energy,68.84,14.740898
NCLH,Norwegian Cruise Line Holdings Ltd.,18.3,14.758063
WTW,Willis Towers Watson Public Limited Company,251.61,14.774515
EPAM,"EPAM Systems, Inc.",103.715,14.90158
REGN,"Regeneron Pharmaceuticals, Inc.",610.88,14.9140625
NVR,"NVR, Inc.",6120.75,14.94032
GEHC,GE HealthCare Technologies Inc.,62.4,14.964029
PFG,"Principal Financial Group, Inc.",104.372,14.9744625
ADBE,Adobe Inc.,257.2,14.979616
CLX,The Clorox Company,92.145,14.982926
OKE,"ONEOK, Inc.",84.65,15.089127
CDW,CDW Corporation,124.345,15.145555
AOS,A. O. Smith Corporation,56.97,15.192
FOX,Fox Corporation,57.81,15.213159
ACN,Accenture plc,187.43,15.363114
TSCO,Tractor Supply Company,31.4503,15.492759
C,Citigroup Inc.,126.08,15.584672
HST,"Host Hotels & Resorts, Inc.",23.025,15.663264
STT,State Street Corporation,156.375,15.875634
BMY,Bristol-Myers Squibb Company,56.865,15.928573
FDS,FactSet Research Systems Inc.,248.81,16.02125
DG,Dollar General Corporation,110.005,16.059124
MET,"MetLife, Inc.",83.27,16.106382
BALL,Ball Corporation,55.28,16.116617
